StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Data Agreement,Age,Gender,Income,Energy Consumption,Tariff,payment_1,Region,Household_size,Concern_1,RES_attitude_1,Providers,Appliances,Task1_1,Task1_2,Task1_3,Task1_4,Set1,Time_Set1_First Click,Time_Set1_Last Click,Time_Set1_Page Submit,Time_Set1_Click Count,Set2,Time_Set2_First Click,Time_Set2_Last Click,Time_Set2_Page Submit,Time_Set2_Click Count,Set3,Time_Set3_First Click,Time_Set3_Last Click,Time_Set3_Page Submit,Time_Set3_Click Count,Set4,Time_Set4_First Click,Time_Set4_Last Click,Time_Set4_Page Submit,Time_Set4_Click Count,Set5,Time_Set5_First Click,Time_Set5_Last Click,Time_Set5_Page Submit,Time_Set5_Click Count,Set6,Time_Set6_First Click,Time_Set6_Last Click,Time_Set6_Page Submit,Time_Set6_Click Count,Set7,Time_Set7_First Click,Time_Set7_Last Click,Time_Set7_Page Submit,Time_Set7_Click Count,Set8,Time_Set8_First Click,Time_Set8_Last Click,Time_Set8_Page Submit,Time_Set8_Click Count,Set9,Time_Set9_First Click,Time_Set9_Last Click,Time_Set9_Page Submit,Time_Set9_Click Count,Set10,Time_Set10_First Click,Time_Set10_Last Click,Time_Set10_Page Submit,Time_Set10_Click Count,Set11,Time_Set11_First Click,Time_Set11_Last Click,Time_Set11_Page Submit,Time_Set11_Click Count,Set12,Time_Set12_First Click,Time_Set12_Last Click,Time_Set12_Page Submit,Time_Set12_Click Count,Comments
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Chcel by som Vás poprosiť o zdieľanie Vášho názoru o trhu s elektrickou energiou. 

Vaše odpovede sú veľmi cenné pre výskum a budú použité v súlade s etickými zásadami. Žiadne osobné dáta nie sú zbierané a odpovede sú úplne anonymné. 

Ďakujem Vám vopred za Váš čas pri pomoci pochopiť trh s elektrickou energiou!",Koľko máte rokov?,Aké je Vaše pohlavie?,Aký je približný mesačný príjem Vašej domácnosti?,"Viete, aké je Vaše sadzobné pásmo za spotrebu elektriny?",Zadajte Vaše sadzobné pásmo:,Aká je Vaša približná mesačná platba za elektrickú energiu? - Platba v €,Kde bývate?,Koľko ľudí býva vo Vašej domácnosti?,"Ako veľmi sa obávate, že produkcia elektrickej energie nenávratne poškodí prírodné prostredie? - Moja obava","Myslíte si, že produkcia energie z obnoviteľných zdrojov (OZ) pomáha zlepšovať životné prostredie? - Produkcia z OZ ...",Ktorých dodávateľov energie poznáte?,"Vyberte všetky spotrebiče, ktoré vlastníte",Zvoľte - Pravidelne a vedome znižujem teplotu na termostate,Zvoľte - Zaujímam sa o zdroj elektrickej energie môjho poskytovateľa,Zvoľte - Vedome šetrím spotrebu elektrickej energie (napr. vypínanie svetiel a spotrebičov),Zvoľte - Nakupujem šetrnejšie spotrebiče,Ktorý z plánov elektrickej energie by ste si zvolili?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Ktorý z plánov elektrickej energie by ste si zvolili?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Ktorý z plánov elektrickej energie by ste si zvolili?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Ktorý z plánov elektrickej energie by ste si zvolili?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Ktorý z plánov elektrickej energie by ste si zvolili?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Ktorý z plánov elektrickej energie by ste si zvolili?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Ktorý z plánov elektrickej energie by ste si zvolili?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Ktorý z plánov elektrickej energie by ste si zvolili?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Ktorý z plánov elektrickej energie by ste si zvolili?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Ktorý z plánov elektrickej energie by ste si zvolili?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Ktorý z plánov elektrickej energie by ste si zvolili?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Ktorý z plánov elektrickej energie by ste si zvolili?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Ďakujem Vám veľmi pekne za vyplnenie prieskumu. V prípade, že máte pripomienky, komentáre alebo by ste chceli vedieť výsledky výskumu, napíšte mi nižšie (v prípade výsledkov zanechajte kontaktný údaj)."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16""}","{""ImportId"":""QID13""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID21""}","{""ImportId"":""QID26_FIRST_CLICK""}","{""ImportId"":""QID26_LAST_CLICK""}","{""ImportId"":""QID26_PAGE_SUBMIT""}","{""ImportId"":""QID26_CLICK_COUNT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_FIRST_CLICK""}","{""ImportId"":""QID30_LAST_CLICK""}","{""ImportId"":""QID30_PAGE_SUBMIT""}","{""ImportId"":""QID30_CLICK_COUNT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32_FIRST_CLICK""}","{""ImportId"":""QID32_LAST_CLICK""}","{""ImportId"":""QID32_PAGE_SUBMIT""}","{""ImportId"":""QID32_CLICK_COUNT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_FIRST_CLICK""}","{""ImportId"":""QID34_LAST_CLICK""}","{""ImportId"":""QID34_PAGE_SUBMIT""}","{""ImportId"":""QID34_CLICK_COUNT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_FIRST_CLICK""}","{""ImportId"":""QID36_LAST_CLICK""}","{""ImportId"":""QID36_PAGE_SUBMIT""}","{""ImportId"":""QID36_CLICK_COUNT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_FIRST_CLICK""}","{""ImportId"":""QID38_LAST_CLICK""}","{""ImportId"":""QID38_PAGE_SUBMIT""}","{""ImportId"":""QID38_CLICK_COUNT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_FIRST_CLICK""}","{""ImportId"":""QID40_LAST_CLICK""}","{""ImportId"":""QID40_PAGE_SUBMIT""}","{""ImportId"":""QID40_CLICK_COUNT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42_FIRST_CLICK""}","{""ImportId"":""QID42_LAST_CLICK""}","{""ImportId"":""QID42_PAGE_SUBMIT""}","{""ImportId"":""QID42_CLICK_COUNT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_FIRST_CLICK""}","{""ImportId"":""QID44_LAST_CLICK""}","{""ImportId"":""QID44_PAGE_SUBMIT""}","{""ImportId"":""QID44_CLICK_COUNT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46_FIRST_CLICK""}","{""ImportId"":""QID46_LAST_CLICK""}","{""ImportId"":""QID46_PAGE_SUBMIT""}","{""ImportId"":""QID46_CLICK_COUNT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48_FIRST_CLICK""}","{""ImportId"":""QID48_LAST_CLICK""}","{""ImportId"":""QID48_PAGE_SUBMIT""}","{""ImportId"":""QID48_CLICK_COUNT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50_FIRST_CLICK""}","{""ImportId"":""QID50_LAST_CLICK""}","{""ImportId"":""QID50_PAGE_SUBMIT""}","{""ImportId"":""QID50_CLICK_COUNT""}","{""ImportId"":""QID53_TEXT""}"
2022-05-11 11:52:06,2022-05-11 11:58:41,0,100,395,1,2022-05-11 11:58:43,R_3MT1M3RGIptBp7p,anonymous,SK,1,53,2,5,2,,67,3,3,3,4,"12,14","1,3,4,6,8",6,1,6,6,34,26.137,26.137,31.261,1,34,22.265,25.112,25.765,2,34,23.971,25.584,26.478,2,34,8.418,9.963,11.01,2,34,3.779,5.293,6.27,2,34,9.465,11.11,11.97,2,31,8.517,10.848,11.734,2,31,5.555,6.672,7.56,2,34,4.687,5.813,6.557,2,31,6.026,7.258,8.435,2,34,2.101,2.101,4.201,1,34,11.948,11.948,12.801,1,
2022-05-11 11:53:17,2022-05-11 12:03:09,0,100,592,1,2022-05-11 12:18:13,R_1DToeJUVStjMAtO,anonymous,SK,1,47,2,4,1,1,47,3,4,4,4,"4,9,12,14","1,6",4,4,6,6,34,29.021,29.021,37.636,1,34,27.329,28.895,29.932,2,31,9.263,12.629,14.919,2,34,8.928,24.463,26.055,4,34,6.113,10.86,11.52,2,34,9.808,12.924,13.549,2,31,9.967,12.5,13.082,3,34,18.843,20.992,23.091,2,34,6.266,9.398,10.224,2,34,22.893,24.391,25.118,2,31,11.332,11.332,12.606,1,34,12.492,12.492,15.232,1,
2022-05-11 12:10:49,2022-05-11 12:24:48,0,100,839,1,2022-05-11 12:24:50,R_2BzEib2HRgW3hSU,anonymous,SK,1,56,1,5,1,1,41,3,4,2,1,"4,9,12,13,14","1,6",6,2,6,6,34,37.28,37.28,38.845,1,31,22.977,22.977,27.038,1,34,11.304,11.304,13.012,1,34,8.619,8.619,10.836,1,31,9.438,9.438,11.034,1,34,4.11,4.11,5.889,1,31,4.127,4.127,6.472,1,31,3.517,3.517,5.033,1,31,2.108,2.108,3.678,1,31,5.57,5.57,7.392,1,31,4.504,4.504,6.046,1,31,4.715,4.715,6.572,1,
2022-05-12 13:57:09,2022-05-12 14:01:10,0,100,240,1,2022-05-12 14:01:11,R_paVBddl8ds6hOO5,anonymous,SK,1,38,2,3,2,,25,3,1,5,5,"4,5,9,12,14","1,6",6,6,6,6,34,18.237,21.255,22.146,2,31,17.8,17.8,19.13,1,31,4.334,4.334,5.353,1,34,3.699,10.523,11.29,2,31,3.902,3.902,4.794,1,34,6.19,6.19,7.251,1,31,1.983,1.983,2.941,1,31,4.367,4.367,5.22,1,31,4.201,4.201,5.113,1,31,2.838,2.838,3.832,1,31,1.607,1.607,2.273,1,34,1.471,1.471,5.045,1,
2022-05-12 13:55:34,2022-05-12 14:01:20,0,100,345,1,2022-05-12 14:01:22,R_10MnS2PtSYnSXx9,anonymous,SK,1,23,1,3,2,,38,3,1,4,4,"1,4,11,12,14","1,6,8",5,1,6,4,34,7.256,7.256,8.156,1,34,14.182,18.109,19.01,4,31,12.853,12.853,14.144,1,34,12.925,12.925,13.588,1,34,6.402,6.402,7.233,1,31,15.652,15.652,17.228,1,31,8.62,8.62,10.879,1,31,10.097,10.097,11.546,1,34,3.075,3.075,3.825,1,34,7.01,7.01,8.269,1,31,10.536,10.536,11.779,1,31,7.405,8.12,9.267,2,
2022-05-12 14:10:39,2022-05-12 14:18:42,0,100,482,1,2022-05-12 14:18:44,R_2OT1ukc71EmK2AT,anonymous,SK,1,36,2,6,1,4,48,3,4,3,4,"12,14","1,2,3,6,8",2,2,5,5,31,17.986,20.37,21.132,3,34,7.816,7.816,8.854,1,34,12.78,13.746,13.78,2,34,9.557,9.557,10.637,1,34,13.564,18.461,19.335,2,31,11.281,11.281,12.129,1,31,6.276,6.276,7.172,1,31,11.763,11.763,12.674,1,31,9.013,9.013,9.997,1,34,6.209,7.392,7.891,2,31,8.175,8.175,9.061,1,34,9.579,9.579,10.413,1,
2022-05-13 03:36:20,2022-05-13 03:44:46,0,100,505,1,2022-05-13 03:44:47,R_RPPPUFPva0I0g6d,anonymous,SK,1,23,1,6,2,,50,3,2,4,4,"4,5,7,9,12,14","1,3,6,7,8",6,5,6,6,34,22.454,22.454,23.778,1,34,11.491,11.491,12.276,1,31,15.777,15.777,16.646,1,34,37.334,37.334,38.637,1,34,13.58,14.433,14.455,2,34,11.998,11.998,12.617,1,31,8.544,8.544,10.383,1,31,4.742,4.742,5.725,1,34,9.088,9.088,9.66,1,31,3.562,3.562,4.764,1,31,7.407,7.407,11.933,1,34,14.419,14.419,15.136,1,
2022-05-13 03:44:08,2022-05-13 04:08:49,0,100,1481,1,2022-05-13 04:08:50,R_tRnGvEI06RwLbsB,anonymous,SK,1,32,1,5,2,,5,1,2,3,5,"5,9,12,14","1,3,6",2,2,4,4,34,9.077,9.077,10.318,1,34,1.245,9.061,9.95,2,31,8.73,8.73,9.654,1,34,5.991,5.991,7.46,1,34,1.21,3.11,4.05,2,31,3.367,4.651,6.694,2,31,1.176,3.677,5.032,2,31,2.57,2.57,3.379,1,34,3.56,3.56,4.381,1,34,7.871,7.871,8.643,1,34,13.593,13.593,14.481,1,34,2.284,2.284,2.991,1,
2022-05-15 04:27:23,2022-05-15 04:47:05,0,100,1182,1,2022-05-15 04:47:07,R_d9V6boP8R1mKdtT,anonymous,SK,1,30,1,6,2,,82,3,2,2,4,"1,5,7,9,12,14","1,2,5,6,8",1,1,6,6,34,27.248,28.221,29.169,2,31,33.774,34.704,35.537,2,31,25.346,30.669,31.529,2,34,22.248,26.865,27.869,3,34,21.695,22.476,23.528,2,31,21.063,22.048,22.811,2,31,106.549,108.32,108.39,3,34,34.982,36.663,37.551,2,34,32.193,33.175,33.791,2,34,30.388,32.099,32.141,4,31,7.719,8.817,10.946,2,31,11.25,11.91,12.495,2,
2022-05-12 23:54:15,2022-05-15 05:44:08,0,100,193793,1,2022-05-15 05:44:13,R_3nvFpVCe1qYXVkb,anonymous,SK,1,21,1,4,2,,157,2,3,3,5,"3,5,9,10,14","1,3,6,8",1,1,1,6,34,10.348,10.348,11.511,1,31,27.69,27.69,28.439,1,34,8.2,8.2,9.649,1,34,2.678,2.678,6.001,1,31,2.06,4.287,4.864,2,31,8.047,8.047,10.216,1,31,6.936,6.936,8.697,1,31,3.37,3.37,4.146,1,34,3.183,12.44,12.921,3,34,4.534,4.534,5.174,1,31,4.227,4.741,6.748,2,31,4.405,4.405,5.098,1,
2022-05-13 04:11:32,2022-05-16 00:35:22,0,100,246230,1,2022-05-16 00:35:23,R_ROYtLuakH8DHea5,anonymous,SK,1,26,2,3,2,,30,3,2,1,4,"1,4,5,12,14","1,3,6,7,8",4,4,5,5,34,51.597,97.737,139.978,8,34,5.337,44.615,52.069,12,31,7.062,18.538,24.315,5,31,1.037,33.732,37.999,5,34,6.102,6.102,8.513,1,34,5.691,10.397,12.518,3,31,5.773,5.773,6.926,1,31,2.688,2.688,7.213,1,34,2.031,2.031,3.642,1,34,1.751,1.751,4.88,1,34,4.074,4.074,6.42,1,31,1.351,2.889,4.201,2,
